Season,Team,Contender Score,Standings Rank,Result
2019-2020,COL,17.76,4,1
2019-2020,TBL,12.23,3,4
2019-2020,VGK,7.36,8,2
2019-2020,STL,4.64,2,0
2019-2020,PHI,3.95,6,1
2019-2020,BOS,3.79,1,1
2019-2020,CAR,3.48,11,0
2019-2020,MTL,-6.45,24,0
2019-2020,VAN,-12.04,18,1
2019-2020,CHI,-13.14,23,0
2019-2020,WSH,-13.93,5,0
2019-2020,CGY,-14.52,17,0
2019-2020,ARI,-27.26,22,0
2019-2020,DAL,-27.98,10,3
2019-2020,CBJ,-32.91,13,0
2019-2020,NYI,-41.51,15,2
