Season,Team,Contender Score,Standings Rank,Result
2018-2019,TOR,29.17,8,0
2018-2019,TBL,28.11,1,0
2018-2019,CGY,23.72,2,0
2018-2019,SJS,19.43,6,2
2018-2019,CAR,18.42,11,2
2018-2019,BOS,15.97,3,3
2018-2019,VGK,12.86,16,0
2018-2019,NSH,11.64,7,0
2018-2019,STL,3.55,12,4
2018-2019,WSH,1.7,4,0
2018-2019,PIT,-0.18,9,0
2018-2019,CBJ,-1.4,13,1
2018-2019,COL,-5.88,17,1
2018-2019,NYI,-7.06,5,1
2018-2019,DAL,-8.17,15,1
2018-2019,WPG,-20.64,10,0
