Season,Team,Contender Score,Standings Rank,Result
2010-2011,BOS,23.76,7,4
2010-2011,VAN,11.81,1,3
2010-2011,CHI,11.71,13,0
2010-2011,DET,1.06,6,1
2010-2011,NSH,-2.07,10,1
2010-2011,SJS,-3.41,5,2
2010-2011,MTL,-4.6,14,0
2010-2011,LAK,-5.72,12,0
2010-2011,ARI,-8.43,11,0
2010-2011,TBL,-12.35,8,2
2010-2011,WSH,-12.96,2,1
2010-2011,BUF,-14.79,15,0
2010-2011,PIT,-17.37,3,0
2010-2011,NYR,-22.48,18,0
2010-2011,PHI,-23.7,4,1
2010-2011,ANA,-25.56,9,0
