Season,Team,Contender Score,Standings Rank,Result
2020-2021,COL,70.11,2,1
2020-2021,VGK,42.28,1,2
2020-2021,TBL,20.89,8,4
2020-2021,BOS,16.73,10,1
2020-2021,EDM,14.98,11,0
2020-2021,CAR,13.67,3,1
2020-2021,MTL,8.88,18,3
2020-2021,NSH,-0.74,13,0
2020-2021,FLA,-2.2,4,0
2020-2021,WPG,-8.59,14,1
2020-2021,WSH,-9.66,6,0
2020-2021,TOR,-15.22,7,0
2020-2021,STL,-15.74,15,0
2020-2021,PIT,-17.07,5,0
2020-2021,NYI,-20.89,12,2
2020-2021,MIN,-33.84,9,0
