Season,Team,Contender Score,Standings Rank,Result
2023-2024,CAR,61.04,3,1
2023-2024,FLA,38.48,4,4
2023-2024,COL,33.06,8,1
2023-2024,WPG,32.05,5,0
2023-2024,VAN,25.07,6,1
2023-2024,EDM,23.88,9,3
2023-2024,NYR,17.44,1,2
2023-2024,DAL,17.3,2,2
2023-2024,LAK,17.13,12,0
2023-2024,NSH,10.3,11,0
2023-2024,BOS,-7.92,7,1
2023-2024,TBL,-9.63,13,0
2023-2024,TOR,-12.2,10,0
2023-2024,NYI,-16.11,15,0
2023-2024,VGK,-17.25,14,0
2023-2024,WSH,-31.21,18,0
