Season,Team,Contender Score,Standings Rank,Result
2016-2017,WSH,37.02,1,1
2016-2017,PIT,11.53,2,4
2016-2017,MTL,11.29,8,0
2016-2017,SJS,11.13,10,0
2016-2017,EDM,9.53,7,1
2016-2017,BOS,8.94,13,0
2016-2017,CBJ,5.38,4,0
2016-2017,CGY,0.12,15,0
2016-2017,CHI,-4.28,3,0
2016-2017,ANA,-7.84,6,2
2016-2017,NSH,-8.55,17,3
2016-2017,TOR,-9.84,14,0
2016-2017,MIN,-20.46,5,0
2016-2017,OTT,-22.54,12,2
2016-2017,NYR,-23.03,9,1
2016-2017,STL,-35.54,11,1
