Season,Team,Contender Score,Standings Rank,Result
2017-2018,CBJ,32.42,14,0
2017-2018,VGK,22.06,5,3
2017-2018,NSH,15.31,1,1
2017-2018,TBL,13.71,3,2
2017-2018,PHI,9.07,13,0
2017-2018,WPG,5.33,2,2
2017-2018,SJS,1.31,11,1
2017-2018,BOS,1.03,4,1
2017-2018,LAK,0.68,12,0
2017-2018,PIT,-7.77,10,1
2017-2018,WSH,-9.76,7,4
2017-2018,ANA,-10.47,9,0
2017-2018,TOR,-11.81,6,0
2017-2018,COL,-13.42,17,0
2017-2018,NJD,-15.41,15,0
2017-2018,MIN,-31.48,8,0
