Season,Team,Contender Score,Standings Rank,Result
2022-2023,BOS,55.47,1,0
2022-2023,CAR,39.72,2,2
2022-2023,COL,37.79,6,0
2022-2023,FLA,34.03,17,3
2022-2023,NJD,27.15,3,1
2022-2023,TBL,22.63,13,0
2022-2023,WPG,19.94,14,0
2022-2023,EDM,19.03,7,1
2022-2023,NYI,18.31,15,0
2022-2023,TOR,14.73,5,1
2022-2023,DAL,14.38,8,2
2022-2023,NYR,8.95,9,0
2022-2023,LAK,6.49,10,0
2022-2023,SEA,2.8,12,1
2022-2023,MIN,-17.84,11,0
2022-2023,VGK,-24.77,4,4
