Season,Team,Contender Score,Standings Rank,Result
2008-2009,BOS,18.54,2,1
2008-2009,CAR,14.79,11,2
2008-2009,CHI,14.18,6,2
2008-2009,DET,11.94,3,3
2008-2009,WSH,8.95,4,1
2008-2009,SJS,-1.31,1,0
2008-2009,ANA,-5.31,17,1
2008-2009,VAN,-5.41,7,1
2008-2009,NJD,-12.9,5,0
2008-2009,CGY,-14.48,10,0
2008-2009,NYR,-15.34,12,0
2008-2009,CBJ,-15.52,15,0
2008-2009,MTL,-19.78,13,0
2008-2009,PIT,-26.58,8,4
2008-2009,PHI,-39.05,9,0
2008-2009,STL,-53.63,16,0
