Season,Team,Contender Score,Standings Rank,Result
2015-2016,LAK,19.06,8,0
2015-2016,WSH,11.74,1,1
2015-2016,PIT,10.65,4,4
2015-2016,SJS,8.77,11,3
2015-2016,CHI,8.3,5,0
2015-2016,NYI,-2.02,10,1
2015-2016,TBL,-2.44,12,2
2015-2016,DAL,-2.79,2,1
2015-2016,ANA,-8.52,7,0
2015-2016,DET,-9.19,16,0
2015-2016,PHI,-12.31,14,0
2015-2016,FLA,-15.58,6,0
2015-2016,STL,-16.36,3,2
2015-2016,NYR,-16.97,9,0
2015-2016,NSH,-26.61,13,1
2015-2016,MIN,-33.94,17,0
