Season,Team,Contender Score,Standings Rank,Result
2009-2010,CHI,39.89,3,4
2009-2010,WSH,26.55,1,0
2009-2010,BOS,10.92,14,1
2009-2010,NSH,2.54,10,0
2009-2010,VAN,2.43,5,1
2009-2010,ARI,-3.4,4,0
2009-2010,PIT,-8.45,8,1
2009-2010,LAK,-9.46,9,0
2009-2010,SJS,-10.73,2,2
2009-2010,PHI,-12.13,18,3
2009-2010,DET,-13.24,7,1
2009-2010,BUF,-16.64,11,0
2009-2010,MTL,-22.26,19,2
2009-2010,OTT,-24.48,13,0
2009-2010,NJD,-39.28,6,0
2009-2010,COL,-64.99,12,0
