Season,Team,Contender Score,Standings Rank,Result
2013-2014,LAK,25.48,9,4
2013-2014,BOS,25.22,1,1
2013-2014,SJS,21.29,5,0
2013-2014,CHI,20.3,7,2
2013-2014,DAL,6.51,16,0
2013-2014,ANA,4.23,2,1
2013-2014,TBL,-4.09,8,0
2013-2014,STL,-6.12,4,0
2013-2014,NYR,-10.37,12,3
2013-2014,MTL,-17.87,10,2
2013-2014,MIN,-26.69,11,1
2013-2014,COL,-28.3,3,0
2013-2014,DET,-28.61,15,0
2013-2014,CBJ,-36.06,14,0
2013-2014,PIT,-38.79,6,1
2013-2014,PHI,-41.24,13,0
