Season,Team,Contender Score,Standings Rank,Result
2021-2022,COL,51.86,2,4
2021-2022,CAR,48.66,3,1
2021-2022,FLA,42.4,1,1
2021-2022,CGY,41.8,6,1
2021-2022,TBL,31.99,8,3
2021-2022,BOS,25.32,10,0
2021-2022,PIT,21.51,12,0
2021-2022,TOR,14.58,4,0
2021-2022,NSH,10.41,16,0
2021-2022,EDM,7.73,11,2
2021-2022,NYR,7.1,7,2
2021-2022,LAK,2.12,14,0
2021-2022,WSH,-5.68,13,0
2021-2022,MIN,-13.22,5,0
2021-2022,STL,-19.53,9,1
2021-2022,DAL,-20.52,15,0
