Season,Team,Contender Score,Standings Rank,Result
2012-2013,CHI,36.31,1,4
2012-2013,BOS,29.12,5,3
2012-2013,OTT,28.78,13,1
2012-2013,DET,-2.13,14,1
2012-2013,LAK,-2.54,7,2
2012-2013,PIT,-3.77,2,2
2012-2013,MTL,-4.83,4,0
2012-2013,SJS,-6.0,11,1
2012-2013,VAN,-8.1,8,0
2012-2013,NYR,-8.3,12,1
2012-2013,WSH,-10.39,9,0
2012-2013,NYI,-25.55,16,0
2012-2013,STL,-32.28,6,0
2012-2013,ANA,-35.93,3,0
2012-2013,TOR,-39.96,10,0
2012-2013,MIN,-46.17,15,0
