Season,Team,Contender Score,Standings Rank,Result
2011-2012,LAK,22.8,13,4
2011-2012,PIT,22.48,4,0
2011-2012,DET,21.85,8,0
2011-2012,BOS,9.99,7,0
2011-2012,OTT,8.73,16,0
2011-2012,STL,7.39,3,1
2011-2012,ARI,3.47,11,2
2011-2012,VAN,0.22,1,0
2011-2012,SJS,-4.4,12,0
2011-2012,CHI,-7.81,10,0
2011-2012,NYR,-12.3,2,2
2011-2012,PHI,-20.41,6,1
2011-2012,WSH,-22.44,15,1
2011-2012,FLA,-22.58,14,0
2011-2012,NSH,-26.73,5,1
2011-2012,NJD,-42.52,9,3
