Season,Team,Contender Score,Standings Rank,Result
2024-2025,CAR,52.53,10,2
2024-2025,COL,46.05,7,0
2024-2025,WSH,34.18,2,1
2024-2025,VGK,17.93,3,1
2024-2025,WPG,16.52,1,1
2024-2025,LAK,16.23,6,0
2024-2025,EDM,15.5,9,3
2024-2025,FLA,13.78,11,4
2024-2025,TBL,12.92,8,0
2024-2025,OTT,0.99,13,0
2024-2025,DAL,-4.43,5,2
2024-2025,MTL,-7.97,17,0
2024-2025,NJD,-10.16,16,0
2024-2025,TOR,-15.93,4,1
2024-2025,STL,-25.32,14,0
2024-2025,MIN,-36.84,12,0
